epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7089593442039738,0.6383476266835598,0.3562883625793054,0.7922053337097168
2,0.0002,0.5934894281716253,0.6276204956972853,0.3871128410762285,0.7833704948425293
3,0.0002,0.5580403483353571,0.634737770608131,0.3802234516010518,0.7878414988517761
4,0.0002,0.52912210326262,0.6409100084862811,0.3908016079110068,0.7920074462890625
5,0.0002,0.5044506204554936,0.6457382944670129,0.3919514590394853,0.7972171902656555
6,0.0002,0.47767730425728117,0.7129236881403213,0.37567189308657317,0.8339272141456604
7,0.0001,0.4324910401457561,0.7359382075832245,0.36617881629735655,0.8463649749755859
8,0.0001,0.4108396046655556,0.7412032034802944,0.38322293499682464,0.8456462025642395
9,0.0001,0.3947692544302558,0.7536242658153494,0.3772917375220704,0.8525896072387695
10,0.0001,0.37691543797220944,0.752643771628116,0.38306056545943895,0.8551264405250549
